timestamp,target_q_0,target_q_1,target_q_2,target_q_3,target_q_4,target_q_5,target_qd_0,target_qd_1,target_qd_2,target_qd_3,target_qd_4,target_qd_5,target_qdd_0,target_qdd_1,target_qdd_2,target_qdd_3,target_qdd_4,target_qdd_5,target_current_0,target_current_1,target_current_2,target_current_3,target_current_4,target_current_5,target_moment_0,target_moment_1,target_moment_2,target_moment_3,target_moment_4,target_moment_5,actual_q_0,actual_q_1,actual_q_2,actual_q_3,actual_q_4,actual_q_5,actual_qd_0,actual_qd_1,actual_qd_2,actual_qd_3,actual_qd_4,actual_qd_5,actual_current_0,actual_current_1,actual_current_2,actual_current_3,actual_current_4,actual_current_5,joint_control_output_0,joint_control_output_1,joint_control_output_2,joint_control_output_3,joint_control_output_4,joint_control_output_5,actual_TCP_pose_0,actual_TCP_pose_1,actual_TCP_pose_2,actual_TCP_pose_3,actual_TCP_pose_4,actual_TCP_pose_5,actual_TCP_speed_0,actual_TCP_speed_1,actual_TCP_speed_2,actual_TCP_speed_3,actual_TCP_speed_4,actual_TCP_speed_5,actual_TCP_force_0,actual_TCP_force_1,actual_TCP_force_2,actual_TCP_force_3,actual_TCP_force_4,actual_TCP_force_5,target_TCP_pose_0,target_TCP_pose_1,target_TCP_pose_2,target_TCP_pose_3,target_TCP_pose_4,target_TCP_pose_5,target_TCP_speed_0,target_TCP_speed_1,target_TCP_speed_2,target_TCP_speed_3,target_TCP_speed_4,target_TCP_speed_5,actual_digital_input_bits,joint_temperatures_0,joint_temperatures_1,joint_temperatures_2,joint_temperatures_3,joint_temperatures_4,joint_temperatures_5,actual_execution_time,robot_mode,joint_mode_0,joint_mode_1,joint_mode_2,joint_mode_3,joint_mode_4,joint_mode_5,safety_mode,actual_tool_accelerometer_0,actual_tool_accelerometer_1,actual_tool_accelerometer_2,speed_scaling,target_speed_fraction,actual_momentum,actual_main_voltage,actual_robot_voltage,actual_robot_current,actual_joint_voltage_0,actual_joint_voltage_1,actual_joint_voltage_2,actual_joint_voltage_3,actual_joint_voltage_4,actual_joint_voltage_5,actual_digital_output_bits,runtime_state,standard_analog_input0,standard_analog_input1,standard_analog_output0,standard_analog_output1,robot_status_bits,safety_status_bits,ft_raw_wrench_0,ft_raw_wrench_1,ft_raw_wrench_2,ft_raw_wrench_3,ft_raw_wrench_4,ft_raw_wrench_5,payload,payload_cog_0,payload_cog_1,payload_cog_2,payload_inertia_0,payload_inertia_1,payload_inertia_2,payload_inertia_3,payload_inertia_4,payload_inertia_5,output_int_register_2,output_int_register_12,output_int_register_13,output_int_register_14,output_int_register_15,output_int_register_16,output_int_register_17,output_int_register_18,output_int_register_19,output_double_register_12,output_double_register_13,output_double_register_14,output_double_register_15,output_double_register_16,output_double_register_17,output_double_register_18,output_double_register_19
5408.205000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735600,1.916050,0.238463,0.001779,0.000000,0.000000,19.005664,20.730226,1.938901,0.014333,0.000000,-0.020956,-1.529599,-1.504276,-1.679538,1.592113,-0.014096,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.213443,1.526395,2.119242,0.142026,0.087509,-0.027841,0.000000,1.735600,1.916050,0.238463,0.001779,0.000000,0.469423,-0.140169,0.383743,-2.203887,2.224282,0.016904,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.039291,0.027778,0.678470,0.013233,-0.038235,-0.257828,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.738958,7,253,253,253,253,253,253,1,-0.019154,0.019154,-9.423578,1.000000,0.540000,0.000000,47.763012,47.756744,0.415145,47.541931,47.584930,47.527599,47.470268,47.599262,47.627930,0,2,0.012840,-0.000000,0.004000,0.004000,3,1,-14566.204586,-12683.678736,24748.496221,-273.675656,323.175914,218.624224,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.209000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735723,1.916046,0.238460,0.001783,0.000000,-0.000000,19.007012,20.730188,1.938875,0.014364,0.000000,-0.020898,-1.529619,-1.504344,-1.679538,1.592046,-0.014149,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.214397,1.561594,2.095440,0.142027,0.073069,-0.021232,-0.000000,1.735723,1.916046,0.238460,0.001783,0.000000,0.469421,-0.140157,0.383700,-2.204087,2.224236,0.016930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-1.081462,0.066180,0.577042,0.010826,-0.038245,-0.254932,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.746326,7,253,253,253,253,253,253,1,-0.038307,0.000000,-9.423578,1.000000,0.540000,0.000000,47.745995,47.759426,0.475576,47.541931,47.584930,47.556267,47.484600,47.584930,47.627930,0,2,0.007805,-0.000000,0.004000,0.004000,3,1,-14566.241378,-12683.636500,24748.598318,-273.675686,323.178308,218.621330,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.209000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735808,1.916057,0.238453,0.001777,0.000000,-0.000000,19.007943,20.730305,1.938816,0.014320,0.000000,-0.020910,-1.529566,-1.504297,-1.679538,1.592092,-0.014126,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.247455,1.502212,2.147063,0.150830,0.072169,-0.040671,-0.000000,1.735808,1.916057,0.238453,0.001777,0.000000,0.469418,-0.140152,0.383748,-2.203977,2.224203,0.016868,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.933956,0.078646,0.550992,0.008821,-0.032921,-0.257226,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.831469,7,253,253,253,253,253,253,1,-0.057461,0.019154,-9.423578,1.000000,0.540000,0.000000,47.734352,47.744205,0.453197,47.541931,47.541931,47.541931,47.484600,47.556267,47.627930,0,2,0.008812,-0.000000,0.004000,0.004000,3,1,-14566.254644,-12683.783621,24748.624407,-273.680941,323.180382,218.623704,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.213000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735595,1.916045,0.238461,0.001781,0.000000,0.000000,19.005614,20.730171,1.938883,0.014350,0.000000,-0.020914,-1.529607,-1.504323,-1.679488,1.592063,-0.014141,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.246563,1.535906,2.158905,0.152361,0.097497,-0.029176,0.000000,1.735595,1.916045,0.238461,0.001781,0.000000,0.469433,-0.140161,0.383721,-2.204011,2.224214,0.016854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.919947,0.361404,0.491347,0.002204,-0.032405,-0.260344,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.704709,7,253,253,253,253,253,253,1,-0.019154,0.038307,-9.404425,0.976852,0.540000,0.000000,47.777340,47.762115,0.477812,47.570599,47.599262,47.584930,47.484600,47.613598,47.670929,0,0,0.010827,-0.000000,0.004000,0.004000,3,1,-14566.536688,-12683.795120,24748.688264,-273.681359,323.187000,218.626831,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.213000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735595,1.916045,0.238461,0.001781,0.000000,0.000000,19.005614,20.730171,1.938883,0.014350,0.000000,-0.020914,-1.529607,-1.504323,-1.679488,1.592063,-0.014141,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.246563,1.535906,2.158905,0.152361,0.097497,-0.029176,0.000000,1.735595,1.916045,0.238461,0.001781,0.000000,0.469433,-0.140161,0.383721,-2.204011,2.224214,0.016854,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.919947,0.361404,0.491347,0.002204,-0.032405,-0.260344,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.704709,7,253,253,253,253,253,253,1,-0.019154,0.038307,-9.404425,0.976852,0.540000,0.000000,47.777340,47.762115,0.477812,47.570599,47.599262,47.584930,47.484600,47.613598,47.670929,0,0,0.010827,-0.000000,0.004000,0.004000,3,1,-14566.536688,-12683.795120,24748.688264,-273.681359,323.187000,218.626831,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.215000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735761,1.916056,0.238460,0.001779,0.000000,-0.000000,19.007429,20.730295,1.938872,0.014331,0.000000,-0.020973,-1.529602,-1.504311,-1.679554,1.592046,-0.014166,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.172394,1.526418,2.149802,0.159614,0.086173,-0.030120,-0.000000,1.735761,1.916056,0.238460,0.001779,0.000000,0.469410,-0.140192,0.383723,-2.204005,2.224284,0.016892,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.840290,0.433763,0.613738,-0.000197,-0.029459,-0.259484,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.686888,7,253,253,253,253,253,253,1,-0.038307,0.114922,-9.385271,0.000000,0.540000,0.000000,47.725399,47.736141,0.439760,47.498932,47.541931,47.498932,47.470268,47.570599,47.584930,0,1,0.010827,-0.000000,0.004000,0.004000,1,1,-14566.465717,-12683.663063,24748.617466,-273.675755,323.186223,218.620324,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.219000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735795,1.916057,0.238456,0.001781,0.000000,-0.000000,19.007808,20.730299,1.938840,0.014348,0.000000,-0.020898,-1.529641,-1.504311,-1.679542,1.592120,-0.014190,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.200455,1.443960,2.141546,0.166940,0.077509,-0.028294,-0.000000,1.735795,1.916057,0.238456,0.001781,0.000000,0.469432,-0.140139,0.383706,-2.204091,2.224150,0.017003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.888075,0.301762,0.549398,0.001916,-0.032767,-0.257397,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.705693,7,253,253,253,253,253,253,1,-0.095768,0.000000,-9.404425,0.000000,0.540000,0.000000,47.776443,47.778233,0.482289,47.584930,47.584930,47.570599,47.484600,47.627930,47.627930,0,1,0.011834,-0.000000,0.004000,0.004000,1,1,-14566.478105,-12683.827741,24748.629406,-273.681026,323.187266,218.623878,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.219000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735795,1.916057,0.238456,0.001781,0.000000,-0.000000,19.007808,20.730299,1.938840,0.014348,0.000000,-0.020898,-1.529641,-1.504311,-1.679542,1.592120,-0.014190,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.200455,1.443960,2.141546,0.166940,0.077509,-0.028294,-0.000000,1.735795,1.916057,0.238456,0.001781,0.000000,0.469432,-0.140139,0.383706,-2.204091,2.224150,0.017003,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.701700,0.400700,0.492155,0.000652,-0.026321,-0.261319,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.673160,7,253,253,253,253,253,253,1,-0.076614,0.000000,-9.346964,0.000000,0.540000,0.000000,47.779133,47.790771,0.471099,47.570599,47.584930,47.541931,47.498932,47.613598,47.642262,0,1,0.008560,-0.000000,0.004000,0.004000,1,1,-14566.577896,-12684.012995,24748.687993,-273.687405,323.188606,218.627896,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.221000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.735892,1.916056,0.238453,0.001783,0.000000,0.000000,19.008870,20.730288,1.938820,0.014369,0.000000,-0.020923,-1.529599,-1.504306,-1.679509,1.592096,-0.014161,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.186198,1.478572,2.149345,0.145874,0.072534,-0.030683,0.000000,1.735892,1.916056,0.238453,0.001783,0.000000,0.469428,-0.140157,0.383731,-2.204006,2.224182,0.016888,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.701700,0.400700,0.492155,0.000652,-0.026321,-0.261319,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.673160,7,253,253,253,253,253,253,1,-0.076614,0.000000,-9.346964,0.000000,0.540000,0.000000,47.779133,47.790771,0.471099,47.570599,47.584930,47.541931,47.498932,47.613598,47.642262,0,1,0.008560,-0.000000,0.004000,0.004000,1,1,-14566.577896,-12684.012995,24748.687993,-273.687405,323.188606,218.627896,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5408.223000,-0.020944,-1.529610,-1.504300,-1.679530,1.592090,-0.014137,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,1.735728,1.916052,0.238460,0.001781,0.000000,-0.000000,19.007072,20.730248,1.938874,0.014353,0.000000,-0.020952,-1.529583,-1.504302,-1.679535,1.592055,-0.014154,0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.202113,1.512601,2.159322,0.145924,0.090164,-0.030053,-0.000000,1.735728,1.916052,0.238460,0.001781,0.000000,0.469415,-0.140181,0.383738,-2.203988,2.224246,0.016848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.637235,0.561020,0.336036,-0.002553,-0.027059,-0.257169,0.469424,-0.140168,0.383727,-2.203971,2.224248,0.016909,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,30.437500,31.000000,29.937500,33.875000,36.625000,37.250000,0.692936,7,253,253,253,253,253,253,1,0.057461,-0.057461,-9.442732,0.000000,0.540000,0.000000,47.737934,47.755844,0.450950,47.541931,47.599262,47.527599,47.470268,47.570599,47.627930,0,1,0.010322,-0.000000,0.004000,0.004000,1,1,-14566.276938,-12683.776043,24748.702319,-273.682138,323.179785,218.625020,0.115000,0.000000,0.000000,0.000000,0.000042,0.000042,0.000042,0.000000,0.000000,0.000000,16941056,0,0,0,0,0,0,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
