Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1675180972.8096147,2174531,1675180972,812017578,optitrack_world,0.31178131698776884,-0.17058245783390347,-0.41086799599953794,-0.3863458988421538,0.5999003972283734,0.6985001689624633,-0.05434955209105596
1675180972.8197932,2174532,1675180972,822166692,optitrack_world,0.31184999138577185,-0.1706697524722202,-0.41026331469902466,-0.3874063410771049,0.6001213929748278,0.6976860958806862,-0.05481562005457827
1675180972.830079,2174533,1675180972,832354253,optitrack_world,0.31150342251016877,-0.1706726530768634,-0.4099251725924852,-0.3862054787589475,0.6009518343611904,0.6976594688971501,-0.05452968377534385
1675180972.8401234,2174534,1675180972,842492200,optitrack_world,0.3114672996982637,-0.17061754557638725,-0.40954687187044725,-0.38677341827332473,0.6013932241320553,0.6969367615360469,-0.054878623387131155
1675180972.8503406,2174535,1675180972,852677801,optitrack_world,0.3113131188094188,-0.1706969253745721,-0.40898633776370075,-0.3873084162303713,0.6029811991083747,0.6953301643989231,-0.0540539241490817
1675180972.8604872,2174536,1675180972,862872936,optitrack_world,0.31120434488797843,-0.17068594515455032,-0.40866953329451117,-0.38727035566302487,0.603130496600642,0.6952026635180629,-0.054300389798677
1675180972.8706636,2174537,1675180972,873016972,optitrack_world,0.3110515133265139,-0.17068761561175844,-0.4085152227148187,-0.3871118892673396,0.6026811338200525,0.6956892042289133,-0.05418825744188838
1675180972.8808086,2174538,1675180972,883210223,optitrack_world,0.310702728991678,-0.17068726373514798,-0.408255004764049,-0.3858465402801269,0.6027891030459736,0.6963288019778429,-0.05379539142890503
1675180972.8910315,2174539,1675180972,893357513,optitrack_world,0.30968951591414556,-0.17025756277198817,-0.4083728207383762,-0.3831074184648955,0.6030110890267658,0.6979469452957021,-0.04976337991249839
1675180972.901241,2174540,1675180972,903530503,optitrack_world,0.3098296922717869,-0.1705863237180023,-0.4074849357617722,-0.3844767119885093,0.6045490556640808,0.6958017060157882,-0.05057749637626987
1675180972.9112957,2174541,1675180972,913663675,optitrack_world,0.3097277569211991,-0.17063695580649413,-0.4070227830752773,-0.384572374663771,0.6046049658787092,0.6956990238775392,-0.05059438759499042
1675180972.9214923,2174542,1675180972,923849933,optitrack_world,0.3098035800209605,-0.17090626431264616,-0.40642545536561253,-0.3855184479560405,0.6054759079677127,0.6944032660506794,-0.050779476704561045
1675180972.9317355,2174543,1675180972,934043165,optitrack_world,0.3097676355187872,-0.17075986017098294,-0.4062224243072714,-0.38580923992087396,0.6045931391919769,0.694998167942282,-0.05095010294925848
1675180972.9420044,2174544,1675180972,944239157,optitrack_world,0.30959158572944445,-0.17072020029264562,-0.40575956410857694,-0.3856282037336192,0.6052785232466416,0.694498454883933,-0.05099699937620523
1675180972.9519727,2174545,1675180972,954379049,optitrack_world,0.30961663142930773,-0.17080522790977268,-0.40516757724949815,-0.3853569657040083,0.6062280445020545,0.6937262700454746,-0.05226307770700135
1675180972.962319,2174546,1675180972,964571482,optitrack_world,0.3095223161648677,-0.17080745822926402,-0.4048736464508398,-0.3846749190996067,0.6059225274059509,0.6943064252107292,-0.05311953791961923
1675180972.9723494,2174547,1675180972,974765352,optitrack_world,0.30927847683893694,-0.170783816104196,-0.4045503572945365,-0.3837813486911387,0.6061853028346859,0.6945443799274357,-0.05347297761715367
1675180972.982538,2174548,1675180972,984980179,optitrack_world,0.3087583667171384,-0.1706907217253913,-0.40421941934198,-0.3824368248742805,0.6066476881253056,0.694925777653415,-0.05290388478266408
1675180972.9928808,2174549,1675180972,995186117,optitrack_world,0.3083931000236413,-0.1708066157794283,-0.40358950603749977,-0.3821655582873814,0.6082013759068355,0.6937612907747494,-0.05230529444023645
1675180973.0030067,2174550,1675180973,5327798,optitrack_world,0.308258668354407,-0.17070016414317163,-0.40312908089887606,-0.38253738958384875,0.6081967411852102,0.6935196685607683,-0.052842586059232054
1675180973.013169,2174551,1675180973,15517473,optitrack_world,0.30798903147324674,-0.17060447429068654,-0.4026306487266872,-0.3828260214304613,0.608620841573537,0.6929672464723424,-0.0531159470835579
1675180973.0233502,2174552,1675180973,25664231,optitrack_world,0.3075730278003319,-0.17059462200364583,-0.4020895027974578,-0.38161664225323255,0.6093026546099904,0.6930024881351738,-0.05354031078584926
1675180973.0334697,2174553,1675180973,35864198,optitrack_world,0.307346378646195,-0.17060421775864143,-0.40166559020503245,-0.3820397251605181,0.6094192042117859,0.6926680507044379,-0.053524325969261224
1675180973.0435557,2174554,1675180973,46005754,optitrack_world,0.30640931931855125,-0.1706244701209125,-0.40123763787726713,-0.3796309173042106,0.6108135357904475,0.692941419604639,-0.0511798800139571
1675180973.0537932,2174555,1675180973,56198006,optitrack_world,0.30606591471004346,-0.1706840665720034,-0.4005742760125329,-0.37931963207189084,0.6119516387844255,0.6921292740327812,-0.05088100373181053
1675180973.064047,2174556,1675180973,66337044,optitrack_world,0.305924744208285,-0.1706846520510566,-0.3999023904152707,-0.3794065069670438,0.6124376332631806,0.691563638281951,-0.05206325038154181
1675180973.074135,2174557,1675180973,76478921,optitrack_world,0.3063339871440038,-0.1708112875741302,-0.399072219139856,-0.38172332734574255,0.6133974423901292,0.6892791009805384,-0.054085117923546616
1675180973.0843124,2174558,1675180973,86671339,optitrack_world,0.30629726311027344,-0.17090652432495712,-0.3987697957830313,-0.38068488175890014,0.6124639078919902,0.6905473658407152,-0.05577918841587212
