Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1702570284.3476553,508379,1702570284,347312607,optitrack_world,0.5842777317575063,0.08308078205106961,-0.34510915789279584,0.7363796509201944,0.18821223047635732,-0.11479701654970598,0.6396427213695579
1702570284.3577006,508380,1702570284,357421505,optitrack_world,0.5837084927055257,0.08312290144850705,-0.3454144508004351,0.7364052095222677,0.18697716638917475,-0.11395137395085167,0.6401265429680706
1702570284.3679018,508381,1702570284,367567693,optitrack_world,0.5836942992218365,0.08308139570950787,-0.3455514549134156,0.73626824291771,0.1887841696829846,-0.11394163458345186,0.6397553560982708
1702570284.3779862,508382,1702570284,377687985,optitrack_world,0.5836942992218365,0.08308139570950787,-0.3455514549134156,0.73626824291771,0.1887841696829846,-0.11394163458345186,0.6397553560982708
1702570284.3880916,508383,1702570284,387811481,optitrack_world,0.5836940438499061,0.08297969107012887,-0.34577824424026804,0.7354119543513854,0.19363841521399633,-0.11555096433473491,0.6390003100091586
1702570284.3982258,508384,1702570284,397932181,optitrack_world,0.5836940438499061,0.08297969107012887,-0.34577824424026804,0.7354119543513854,0.19363841521399633,-0.11555096433473491,0.6390003100091586
1702570284.4083724,508385,1702570284,408054752,optitrack_world,0.583522280666973,0.08300570914881265,-0.3458736874268814,0.7344610202405305,0.19700946751996767,-0.11665654604298689,0.6388626845575334
1702570284.4185069,508386,1702570284,418176960,optitrack_world,0.583522280666973,0.08300570914881265,-0.3458736874268814,0.7344610202405305,0.19700946751996767,-0.11665654604298689,0.6388626845575334
1702570284.428572,508387,1702570284,428359307,optitrack_world,0.5835376714279045,0.083000659084397,-0.3458233418861946,0.7332344207350292,0.20083527605652945,-0.11484479413403428,0.6394084370736558
1702570284.4387054,508388,1702570284,438492958,optitrack_world,0.5835000275482202,0.0829846259303922,-0.3458758974721806,0.7331872872183512,0.2022696614696155,-0.11438335260410876,0.6390929780222954
1702570284.448845,508389,1702570284,448629365,optitrack_world,0.5834724321793515,0.08300787119969258,-0.34582161816742024,0.7327059557331209,0.20406267325315877,-0.11442793370513644,0.6390670198077517
1702570284.4589887,508390,1702570284,458762411,optitrack_world,0.5834295535291127,0.08300804735745898,-0.345798591222357,0.7325185631544016,0.2060635312376289,-0.11442793366088738,0.6386396665774757
1702570284.4691334,508391,1702570284,468929603,optitrack_world,0.583387717005819,0.08297078401966437,-0.3458192798963299,0.7325896008833238,0.20861530863315242,-0.11440381380599769,0.6377334059527928
1702570284.4793658,508392,1702570284,479089926,optitrack_world,0.583475755325044,0.08295951019706534,-0.3457332459442395,0.7319825948765677,0.2111663202144589,-0.11372729102625137,0.6377118230679761
1702570284.4894958,508393,1702570284,489204338,optitrack_world,0.583475755325044,0.08295951019706534,-0.3457332459442395,0.7319825948765677,0.2111663202144589,-0.11372729102625137,0.6377118230679761
1702570284.4995823,508394,1702570284,499341930,optitrack_world,0.5834806454952056,0.08291519212945804,-0.3457425194221307,0.7319588262992938,0.2133177432854547,-0.11340522271503657,0.6370801146348192
1702570284.5096436,508395,1702570284,509470611,optitrack_world,0.5835211984704329,0.08287131033459125,-0.3456961348009769,0.7316503935952505,0.21532138104971266,-0.1128725973903601,0.6368549137543913
1702570284.5199697,508396,1702570284,519655154,optitrack_world,0.5834656059439152,0.0829023942050549,-0.3456369503276773,0.7314025245862632,0.21684863387177666,-0.11263074545971609,0.6366642224862125
1702570284.5300217,508397,1702570284,529790570,optitrack_world,0.5834168883692064,0.08289075874389647,-0.3456107000170153,0.7311006134370867,0.2206571661869648,-0.11169748819743634,0.6358663217789079
1702570284.5402055,508398,1702570284,539925165,optitrack_world,0.583442057184114,0.08284242472879529,-0.34574115102601244,0.7312243894653692,0.2230181390163444,-0.11075770382515653,0.6350641959393268
1702570284.550347,508399,1702570284,550059138,optitrack_world,0.5834617739259838,0.08282161557992083,-0.3457950741096497,0.7309396866981621,0.22523476711557577,-0.1098265175663971,0.634771305377947
1702570284.5605319,508400,1702570284,560235530,optitrack_world,0.5835425416955774,0.08276548058120255,-0.34584527411140886,0.730572104402874,0.22787201413616595,-0.10901047318945119,0.6343937753295623
1702570284.5707035,508401,1702570284,570407279,optitrack_world,0.5835425416955774,0.08276548058120255,-0.34584527411140886,0.730572104402874,0.22787201413616595,-0.10901047318945119,0.6343937753295623
1702570284.5809343,508402,1702570284,580593543,optitrack_world,0.5834979944355525,0.08275806984781656,-0.34583530372691984,0.7300708615540862,0.23036527894387043,-0.1090831345419725,0.634057761663151
1702570284.5909708,508403,1702570284,590715024,optitrack_world,0.5834979944355525,0.08275806984781656,-0.34583530372691984,0.7300708615540862,0.23036527894387043,-0.1090831345419725,0.634057761663151
1702570284.6011083,508404,1702570284,600914955,optitrack_world,0.58333244478781,0.08280287129839659,-0.3459259027918526,0.7288485159055871,0.23441027244501286,-0.10862246075789063,0.6340605854753777
1702570284.6113758,508405,1702570284,611099989,optitrack_world,0.5833392756711279,0.08268571538036323,-0.3462843731190582,0.7280262624998551,0.23857851552321271,-0.10713524403471435,0.6337034736585041
1702570284.6215208,508406,1702570284,621232241,optitrack_world,0.5833392756711279,0.08268571538036323,-0.3462843731190582,0.7280262624998551,0.23857851552321271,-0.10713524403471435,0.6337034736585041
1702570284.631738,508407,1702570284,631429768,optitrack_world,0.5831692362594055,0.08272145969788246,-0.34628556558494206,0.7267388129675058,0.24230936096892453,-0.10818955939479445,0.6335865296479815
