Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,twist.linear.x,twist.linear.y,twist.linear.z,twist.angular.x,twist.angular.y,twist.angular.z
1671120606.8841019,71952,1671120606,783199580,/panda_link0,0.00023643680274465943,0.0004034157596114677,0.0007683207680134418,0.0005786549448601789,-0.0013919102595801658,0.0015713642545393072
1671120606.8841062,71953,1671120606,784237876,/panda_link0,8.677691965951663e-05,0.00026152224251740046,0.0004841074301901906,0.00048328665930519744,-0.0005406896386290031,-0.0004089577052357848
1671120606.884111,71954,1671120606,785231909,/panda_link0,-0.0005596054648939944,4.033777034938758e-05,-0.0005660905244090968,-4.9987424074017975e-05,0.0013102419532933214,0.00016065590580135864
1671120606.8841186,71955,1671120606,786243598,/panda_link0,0.00022449779130761962,-0.0001393788193083177,0.00020090521696263381,-7.60892521064293e-05,-0.00023230192539447253,-0.00020649778409367376
1671120606.8842237,71956,1671120606,787199020,/panda_link0,0.00023377657884151017,-0.0001399311707423656,0.00016993947873089661,-5.043432430416391e-05,-0.00042966623183811434,-1.612170368765791e-05
1671120606.8842301,71957,1671120606,788233988,/panda_link0,-2.2092396711389038e-05,-2.5157393560083143e-05,-0.00019139081113092758,6.701768375346804e-05,0.00012069687845110263,0.0004657569197433774
1671120606.8843017,71958,1671120606,789192616,/panda_link0,0.00020540898051229868,-0.0011600950420049246,-4.8643300120513336e-05,0.00026404367027962514,-0.000111273620028526,-0.003587728540189744
1671120606.8849924,71959,1671120606,790229732,/panda_link0,0.0002504266032946604,6.388468473877779e-05,0.000520731500657088,0.000676503411297697,-0.000815941609719918,-0.0001367646836265276
1671120606.8849986,71960,1671120606,791205549,/panda_link0,-0.00023273218816735448,-8.449141126105685e-05,-1.1701487123181634e-05,0.0004530317615201712,0.000261343734817903,-3.176723767640284e-05
1671120606.8850055,71961,1671120606,792219194,/panda_link0,0.00032837450115580857,-0.00030956731559138496,0.00035275814554338317,6.201186721075698e-06,-0.0007601825565127852,0.00018700674503032506
1671120606.885009,71962,1671120606,793191787,/panda_link0,5.4236325048584776e-05,-0.0001926801301761679,-6.161516384454443e-05,0.0001136423112134833,-9.158240217596882e-05,0.0002733919008176224
1671120606.8850126,71963,1671120606,794231436,/panda_link0,-0.00018155847198193074,0.00018148903950069081,-0.00010405631069698287,8.526616927140174e-05,0.0004977050895444764,4.235910235074494e-05
1671120606.8850195,71964,1671120606,795202875,/panda_link0,-2.0140573244624085e-06,0.00011111745080884735,-0.00032037833409891137,-0.0005637849595719961,0.00027665493795613755,-0.00034105733157801106
1671120606.8850257,71965,1671120606,796292435,/panda_link0,-5.071668275956587e-05,-3.655582746536669e-05,-0.0002454374769646964,-0.00120027986389264,0.0006023547603220455,0.0013426266979337021
1671120606.8850305,71966,1671120606,797201392,/panda_link0,-0.0002293701735730904,-7.335101450285288e-05,-0.00043986567254194553,-0.0002511378384894959,0.0008147843921670308,-0.0016810176772003526
1671120606.8850362,71967,1671120606,798239118,/panda_link0,-0.00029747207544539186,0.0003592716875289146,-0.0005097234819224363,5.892496348199672e-05,0.0004939980681916812,0.0011941152467243462
1671120606.8850422,71968,1671120606,799192975,/panda_link0,-0.00027870726212669524,0.0001965165745729645,-0.00017448200096047785,-0.00014452004700782266,0.0007563574117896338,0.00023907655239516958
1671120606.8850474,71969,1671120606,800235103,/panda_link0,0.00029007534932190863,0.0006162535329527378,0.0005447707596154793,0.0001354902111870449,-0.0012102771154957402,0.0015309489412718919
1671120606.8850553,71970,1671120606,801218218,/panda_link0,-7.316065605556191e-05,0.00039800518258050914,0.0005515954955215959,0.0008900394437054099,-0.0006732126279984831,0.0012968839289603752
1671120606.8850589,71971,1671120606,802245825,/panda_link0,-0.0002119811547263297,-0.00045954428368052497,-0.00015684547431538565,0.0006541169175185013,0.000461974556334408,-0.0007403252042515869
1671120606.8850636,71972,1671120606,803236355,/panda_link0,0.00015339034847758733,8.121970012044363e-05,0.00019589689179232473,3.0537682455904406e-06,-0.00045639025244874565,2.9233455169968675e-05
1671120606.8850665,71973,1671120606,804223234,/panda_link0,2.948401468276089e-05,0.000655296557621886,0.00014687089500458464,-0.00023833566519308378,-0.0006394674004352726,0.0019355301164863791
1671120606.8850715,71974,1671120606,805199268,/panda_link0,0.00011498699414810361,-0.0009260974969176207,-0.0004594335327763625,-0.0005441067624640555,0.0005645027713385357,-0.0016298575956064433
1671120606.8850753,71975,1671120606,806209959,/panda_link0,-0.00011399197166552823,0.0007697622864631865,-5.947160002816173e-05,-0.0003271397566991237,2.7093396507421717e-05,0.0017703906905782245
1671120606.885081,71976,1671120606,807202596,/panda_link0,0.00010047321884827911,-0.0008945295204928241,-0.0005319151872629461,-0.0006483918130757337,0.0007581793052076067,-0.0024155968381372986
1671120606.8850837,71977,1671120606,808354180,/panda_link0,0.0003617333080399499,-8.922066139667136e-05,0.0007618742928426705,0.0006852985210609045,-0.0012040565281441937,-0.00017506650636917606
1671120606.8850896,71978,1671120606,809458618,/panda_link0,0.00031261150711031584,-0.0004620082268941109,0.00022155486797987596,-7.976460905120247e-05,-0.0004360500042848517,-0.0007660095794163824
1671120606.8850944,71979,1671120606,810270635,/panda_link0,6.878831293718691e-05,-0.0003262312649466117,0.0001401083612229654,0.00038648969444796816,-0.0002691089128240608,-0.000545906295430783
1671120606.8851013,71980,1671120606,811235421,/panda_link0,0.00017395341410395484,5.686506148648756e-05,-0.0001281788241664281,-0.0008853154507647363,-0.0002254082298702227,0.0010643929956693108
1671120606.8851063,71981,1671120606,812226017,/panda_link0,-0.0002760303996345142,9.101122997282797e-06,-0.0007187752418371014,-0.0008959149470538421,0.0014521428512603671,-0.0005896087747706097
1671120606.885529,71982,1671120606,813184963,/panda_link0,-0.00019491654915514435,0.0004681808012801195,-0.00020169110558450408,7.414547716487108e-05,0.0004118249680150611,0.000620391445220242
1671120606.885533,71983,1671120606,814220369,/panda_link0,-0.0002044194914395301,-6.516270988053093e-05,0.00013709265255006515,0.0008870848894415166,6.655094948192191e-05,2.118062854700528e-05
1671120606.8855422,71984,1671120606,815218213,/panda_link0,-9.799245309066071e-05,0.0006469418685461491,0.0003544870894054024,0.0005201239189382306,-0.0004833857441743247,0.0010479450545402315
1671120606.885546,71985,1671120606,816279271,/panda_link0,0.00027549206258123475,0.0004925472599169488,0.0005464694436060968,0.00013620424664424524,-0.0009631532397928618,0.0013414445732402472
1671120606.8855498,71986,1671120606,817195518,/panda_link0,0.00014600022457866109,-0.000698109271498396,0.00010200299276052859,0.0005067801348144332,-0.0002549508350479964,-0.0013485993042517278
1671120606.8855553,71987,1671120606,818237744,/panda_link0,1.2466363202413251e-05,0.0004699273907500339,5.080189442473009e-05,-0.0005162877422722099,-0.0002382575091864741,0.0010685558889474813
1671120606.8855608,71988,1671120606,819200220,/panda_link0,-0.0002661134413047855,3.912453885551184e-05,-0.00023964862105980514,0.0005096869906192846,0.0005776484039181352,-0.0010689943434159753
1671120606.8855665,71989,1671120606,820235943,/panda_link0,-0.0001502307774827215,-0.00034111552527113796,5.9284136823851555e-05,0.0005145292115187587,0.00022455949444469763,-0.0008944717823287512
