Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,wrench.force.x,wrench.force.y,wrench.force.z,wrench.torque.x,wrench.torque.y,wrench.torque.z
1671120606.8843818,28389,1671120606,634289677,panda_K,-0.29023538648609293,-0.3285785523807613,-1.452192779954877,0.04052917863901169,-0.11593311062867735,-0.039518128572600064
1671120606.8843894,28390,1671120606,636363747,panda_K,-0.29485782385545917,-0.32742243672409155,-1.4474402746953343,0.04047012877974217,-0.1151635219062088,-0.038757033229172545
1671120606.8843951,28391,1671120606,639193754,panda_K,-0.3004497899601921,-0.3272580772011609,-1.445059398524466,0.04022456950090501,-0.11428228478341826,-0.03764751383858766
1671120606.8844018,28392,1671120606,641199338,panda_K,-0.28803431305781485,-0.3238146054037223,-1.4404466676360248,0.04106089112539614,-0.1178002333697338,-0.03696189984716578
1671120606.8844068,28393,1671120606,644243351,panda_K,-0.27812337619576755,-0.3322444976913307,-1.4413614230155303,0.03859176644601196,-0.12066335134838606,-0.03595412234694405
1671120606.884414,28394,1671120606,647200485,panda_K,-0.2856725597431444,-0.33410191690049207,-1.4494331428600835,0.03797829167571422,-0.11902988364758323,-0.03490182753585608
1671120606.8844182,28395,1671120606,649202724,panda_K,-0.2852428711983602,-0.3333265533757783,-1.4478628628512884,0.03802356823429619,-0.11940882431341487,-0.03413078018138002
1671120606.8844209,28396,1671120606,651242851,panda_K,-0.2816776456213347,-0.3357245461311403,-1.4453029781191462,0.037208824910284974,-0.12058689156638247,-0.03331904865893277
1671120606.8844233,28397,1671120606,654305011,panda_K,-0.28343661949937615,-0.34614006614443693,-1.4488752021300055,0.034165129901106955,-0.12041197546230653,-0.03219924301867621
1671120606.8844275,28398,1671120606,657518210,panda_K,-0.2826968270198357,-0.340476315113573,-1.448352344735513,0.03549858537815116,-0.12068204832735326,-0.03184922178836029
1671120606.884431,28399,1671120606,660252318,panda_K,-0.2814830889241248,-0.32973221510566586,-1.4479116005796748,0.03826709245459097,-0.12083706618891625,-0.032334517020348466
1671120606.884436,28400,1671120606,662288040,panda_K,-0.27428892397377913,-0.329560715447626,-1.443951101323671,0.038148444051184616,-0.12232075736617304,-0.03318980938116721
1671120606.884439,28401,1671120606,664293331,panda_K,-0.2745359185615033,-0.33178500694769514,-1.4400883083464504,0.03737113176815436,-0.12179618306745743,-0.03416537208996233
1671120606.8844447,28402,1671120606,667211317,panda_K,-0.28777969132856057,-0.32881570053253983,-1.4442027118071252,0.038258520118788275,-0.11753508019569345,-0.0358737241828662
1671120606.8844504,28403,1671120606,669262191,panda_K,-0.2884713357003747,-0.3232054735277169,-1.4413292303101999,0.03989414184562917,-0.1167570452245332,-0.03717817523755794
1671120606.8844535,28404,1671120606,671310250,panda_K,-0.28796181901161727,-0.31221107789208336,-1.4368359157965869,0.043053116664039014,-0.11628616351986078,-0.03854801939639346
1671120606.8844576,28405,1671120606,674240622,panda_K,-0.2782770874179614,-0.295174076899613,-1.4324083110639334,0.04812027753462045,-0.11792221419610871,-0.04059984276027516
1671120606.8844612,28406,1671120606,676267010,panda_K,-0.2739330194533859,-0.2881935278518359,-1.4264335919673885,0.05026193649083425,-0.11842890248038367,-0.042036950406889734
1671120606.8844657,28407,1671120606,679248952,panda_K,-0.2797446953490313,-0.2881815126755186,-1.423320233206045,0.05063816599816089,-0.1158607542878084,-0.04414608475205196
1671120606.8844728,28408,1671120606,682330579,panda_K,-0.2934374762504122,-0.2836916232016228,-1.4250086651855423,0.052229328433975535,-0.11142358310104888,-0.04606110221028698
1671120606.8844874,28409,1671120606,685210254,panda_K,-0.3075135547521058,-0.28825784981603453,-1.4349421935782485,0.051371621312881414,-0.10679961411523023,-0.04789654522570333
1671120606.884492,28410,1671120606,687219306,panda_K,-0.3071049708565043,-0.2849555273449942,-1.430381064387799,0.05225899508835575,-0.10633699919226694,-0.04897428864647763
1671120606.8844965,28411,1671120606,690235821,panda_K,-0.29463443138555445,-0.2704493565722955,-1.4210541950545903,0.05614661098237949,-0.10874939337738046,-0.050357085283981286
1671120606.8845007,28412,1671120606,692268080,panda_K,-0.2935501760592055,-0.26748287724924225,-1.4238054892322565,0.05703185250545565,-0.10855068129562812,-0.051045110015839834
1671120606.8845098,28413,1671120606,695213513,panda_K,-0.292337316948089,-0.27632549821703073,-1.4236069763164345,0.05445642163317818,-0.10846981139045761,-0.05159275088996281
1671120606.8845153,28414,1671120606,698229804,panda_K,-0.2952261402165283,-0.2733268010462341,-1.4147496905766697,0.054946164401046736,-0.10784798175701377,-0.05157116561708265
1671120606.8845212,28415,1671120606,700320517,panda_K,-0.30446363900743667,-0.2842736404012651,-1.4210049419723148,0.051889150237948045,-0.10557005360026805,-0.05119678394805449
