Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,pose.position.x,pose.position.y,pose.position.z,pose.orientation.x,pose.orientation.y,pose.orientation.z,pose.orientation.w
1701272543.9816294,2171595,1701272543,981347741,optitrack_world,0.4907114481445154,0.08522503589693438,-0.17448638939812763,0.2687824600193347,0.6751861222338026,-0.6561698449279116,0.20327524230982
1701272543.991857,2171596,1701272543,991533903,optitrack_world,0.4907114481445154,0.08522503589693438,-0.17448638939812763,0.2687824600193347,0.6751861222338026,-0.6561698449279116,0.20327524230982
1701272544.0020053,2171597,1701272544,1673983,optitrack_world,0.49118308772786035,0.08481351047875477,-0.17505386795060882,0.26754353567348493,0.6746029178128586,-0.6567611119635175,0.20492974798733493
1701272544.0121183,2171598,1701272544,11858845,optitrack_world,0.4910715016173146,0.08492796947248718,-0.1751616024814574,0.2682209428904372,0.6734775452815033,-0.6578455319518616,0.20426643847567827
1701272544.022371,2171599,1701272544,22044486,optitrack_world,0.4910715016173146,0.08492796947248718,-0.1751616024814574,0.2682209428904372,0.6734775452815033,-0.6578455319518616,0.20426643847567827
1701272544.0324857,2171600,1701272544,32202606,optitrack_world,0.4916040404082712,0.08434088850369668,-0.17630323504154244,0.26907967006255823,0.6735461999162276,-0.656046982541438,0.2086480396162602
1701272544.042703,2171601,1701272544,42392874,optitrack_world,0.4916576218502917,0.08427941110536863,-0.17647315516638096,0.26978163349938034,0.6726823547982634,-0.6567614614274566,0.20828034605584045
1701272544.0528955,2171602,1701272544,52578101,optitrack_world,0.4917294604264321,0.08426833927961921,-0.17667443962878304,0.2704998361990344,0.6722297657351028,-0.6569907952423026,0.20808670222508513
1701272544.0630634,2171603,1701272544,62764209,optitrack_world,0.4916191083498682,0.08449355389895895,-0.1767103247292452,0.27226521811129306,0.6706056623499675,-0.6582856391524338,0.2069292485770031
1701272544.0731766,2171604,1701272544,72950796,optitrack_world,0.49167568238040404,0.08452211449746805,-0.1769168891093676,0.27323533074621453,0.670552020939375,-0.6581072285462786,0.20639117466903234
1701272544.0834363,2171605,1701272544,83091676,optitrack_world,0.4918059496896977,0.08452261918287132,-0.1770631711515379,0.27405426648856634,0.6702751135197658,-0.658122029897825,0.20615752467141596
1701272544.0934954,2171606,1701272544,93279075,optitrack_world,0.49193268919686733,0.08447625249258228,-0.1772602139954791,0.2751138672044429,0.6699670819414001,-0.6579797474747099,0.20620165154493417
1701272544.1037798,2171607,1701272544,103462910,optitrack_world,0.4922130772089151,0.08431954869450353,-0.1773747606360127,0.2758158919727031,0.6696114721718747,-0.6578242451237506,0.20691382892036175
1701272544.1138482,2171608,1701272544,113646606,optitrack_world,0.49186443533212304,0.08506970979199323,-0.17767873099869147,0.28008755384239586,0.6690502531472589,-0.6574891051627609,0.20403626525312604
1701272544.1241422,2171609,1701272544,123839113,optitrack_world,0.49208269503784147,0.08493896071081325,-0.17779956272423716,0.2807399073237173,0.6690723356747034,-0.6571756955020963,0.20407699358821413
1701272544.1343799,2171610,1701272544,134040163,optitrack_world,0.4927651847889265,0.0842403132400597,-0.17786894978255147,0.2796541581859016,0.6691256001410106,-0.6567887024423702,0.20662304660742717
1701272544.1445699,2171611,1701272544,144229420,optitrack_world,0.49295305784606125,0.08429440007028818,-0.17800953830694208,0.28125477770881663,0.6686304371450494,-0.6566644102021415,0.20644839770038928
1701272544.1546924,2171612,1701272544,154414308,optitrack_world,0.49315117295728683,0.08428786568591903,-0.17819240799792688,0.28326952552666435,0.6679076069508899,-0.6563662662354057,0.20698098712980037
1701272544.1649458,2171613,1701272544,164585289,optitrack_world,0.49325625549786023,0.08428042745205462,-0.1782188162764372,0.2854084844054634,0.6662484476265101,-0.6570752825624179,0.20714023295864226
1701272544.1751232,2171614,1701272544,174768810,optitrack_world,0.4934385070794398,0.08431104604967336,-0.17838429290844765,0.28657058408466324,0.6659254971738605,-0.6567317772071116,0.20766296096682868
1701272544.1852734,2171615,1701272544,184964165,optitrack_world,0.4936785973119596,0.08435514432291844,-0.17850596967934512,0.28666674020009625,0.6657705326430481,-0.6566611598997847,0.20824960745776255
1701272544.195446,2171616,1701272544,195146026,optitrack_world,0.49338127146840516,0.08502737437472216,-0.1788154306515809,0.28884521937492724,0.6654633998778395,-0.6569522978056892,0.20528171149691318
1701272544.20563,2171617,1701272544,205286242,optitrack_world,0.49412343847800627,0.08424505179349395,-0.17894444843032173,0.28532138283675623,0.6663092917571591,-0.656844233882042,0.20779626712264943
1701272544.2156506,2171618,1701272544,215424272,optitrack_world,0.49412343847800627,0.08424505179349395,-0.17894444843032173,0.28532138283675623,0.6663092917571591,-0.656844233882042,0.20779626712264943
1701272544.225897,2171619,1701272544,225619846,optitrack_world,0.4941153002935982,0.08488807033500337,-0.17951933557661856,0.28683650515882003,0.6662525775367819,-0.6571760570838775,0.20482175721723755
1701272544.2361448,2171620,1701272544,235807146,optitrack_world,0.4947284793633081,0.08421570452452394,-0.17935463736172247,0.2844304724394588,0.664944857146596,-0.6587625588626204,0.20731506057913898
1701272544.2462633,2171621,1701272544,245949217,optitrack_world,0.4947284793633081,0.08421570452452394,-0.17935463736172247,0.2844304724394588,0.664944857146596,-0.6587625588626204,0.20731506057913898
1701272544.2564785,2171622,1701272544,256131882,optitrack_world,0.4945068290064188,0.08498759660814037,-0.17988490186734157,0.28956232578417096,0.6629409990765589,-0.6594151565273071,0.20453494217835455
